id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review
261065,Westboro Village Executive Suite,1369632,Glenn,,Kitchissippi,45.39084,-75.75621,Entire home/apt,159.0,3.0,108,2024-10-26,0.67,1.0,230.0,12,Licensed,296.0
290033,Rural charm close to the city,415201,Daniel,,Rideau-Goulbourn,45.1682,-75.71208,Entire home/apt,228.0,2.0,12,2024-10-26,0.08,1.0,267.0,6,Licensed,296.0
490182,Basement Studio - Old Ottawa East,2401179,Ela,,Capital,45.4055,-75.67612,Private room,78.0,30.0,9,2022-09-27,0.11,1.0,255.0,0,Licensed,1056.0
674799,Up to 3-bdrm with privacy - quiet & safe,2058676,Yiqun,,Gloucester-South Nepean,45.2691,-75.72197,Private room,63.0,1.0,93,2024-10-13,0.65,1.0,364.0,27,Licensed,309.0
682632,"Adorable 2 bdrm, Central Ottawa PD1",3201295,Greg And Valerie,,Kitchissippi,45.40455,-75.7313,Entire home/apt,105.0,31.0,9,2024-05-11,0.08,7.0,83.0,2,Licensed,464.0
682634,Highly desirable Ottawa & Wellington Village West!,3201295,Greg And Valerie,,Kitchissippi,45.4003,-75.73144,Entire home/apt,208.0,31.0,11,2024-08-01,0.09,7.0,254.0,2,Exempt,382.0
902575,Room for rent Downtown Ottawa R,3895093,Nicole,,Somerset,45.41753,-75.69297,Private room,93.0,90.0,7,2016-09-28,0.05,1.0,0.0,0,Licensed,3246.0
943979,Smart flat near Center&Glebe+Garage,5108859,Maria And Jim,,Somerset,45.41127,-75.69575,Entire home/apt,76.0,60.0,303,2024-03-24,2.09,2.0,213.0,1,Licensed,512.0
987450,Central New condo w Balcony/Garage!,5108859,Maria And Jim,,Somerset,45.41083,-75.69474,Entire home/apt,73.0,60.0,326,2025-01-13,2.26,2.0,163.0,3,Licensed,217.0
1151370,Furnished Room in a Friendly Family Home,1755714,Janice,,College,45.34761,-75.7843,Private room,36.0,30.0,50,2024-12-21,0.36,3.0,345.0,3,Licensed,240.0
1703622,Bedroom in kanata south free parking & Gym access,5035914,Abdelrahman,,Kanata South,45.28752,-75.86129,Private room,71.0,1.0,17,2024-11-08,0.45,4.0,0.0,6,Licensed,283.0
1732533,Private Clean Bedroom and Bathroom,9123239,Mariana,,Gloucester-South Nepean,45.27375031,-75.70606232,Private room,59.0,2.0,155,2025-02-28,1.12,1.0,262.0,23,Licensed,171.0
1774018,Zen Tranquility Retreat,294136176,Vania,,Barrhaven,45.25212,-75.74594,Entire home/apt,199.0,31.0,33,2023-09-01,0.49,1.0,131.0,0,Licensed,717.0
1827668,Centrally located 3 bedroom home in Westboro!,6818912,Anne-Marie,,Kitchissippi,45.39533,-75.7582,Entire home/apt,230.0,30.0,61,2021-08-26,0.45,1.0,0.0,0,Licensed,1453.0
1908873,Mer Bleue Private Apartment,9905548,Nadine,,Innes,45.42971,-75.48987,Entire home/apt,100.0,31.0,105,2022-03-29,0.87,1.0,0.0,0,Licensed,1238.0
2148350,Bright Modern & Spacious - Executive Rental,10964947,Trevor,,College,45.34248,-75.78457,Entire home/apt,98.0,30.0,78,2024-05-31,0.63,2.0,339.0,1,Licensed,444.0
2256795,AMAZING VIEW DOWNTOWN 1 BED CONDO!,5058472,Kat,,Somerset,45.41408,-75.69267,Entire home/apt,135.0,30.0,21,2015-08-29,0.16,1.0,365.0,0,Licensed,3642.0
2374455,Charming Eurostyle apartment! PD2,3201295,Greg And Valerie,,Kitchissippi,45.40387,-75.73097,Entire home/apt,150.0,31.0,21,2024-12-31,0.18,7.0,0.0,3,Licensed,230.0
2453778,Central Ottawa Micro Condo Studio w Heated Parking,12547161,Evaldo,,Somerset,45.41062,-75.69663,Entire home/apt,80.0,30.0,307,2024-11-15,2.3,1.0,205.0,5,Licensed,276.0
2474327,Private unit close to Rideau Canal,12656347,Diem,,Capital,45.40874,-75.68044,Entire home/apt,116.0,1.0,225,2025-03-02,1.75,1.0,152.0,27,Licensed,169.0
2738455,Studio 2 OTTAWA WEST,12671457,Mariya,,College,45.31617,-75.83931,Private room,63.0,1.0,73,2024-06-16,0.58,2.0,19.0,13,Licensed,428.0
2744294,3 Bedroom Executive Apt in Westboro,8166549,Michael,,Kitchissippi,45.40154,-75.74731,Entire home/apt,100.0,3.0,55,2024-09-22,0.42,1.0,0.0,7,Licensed,330.0
2949838,Cozy and  vintage  spot in the heart of Ottawa,374659,Emma And Ed,,Rideau-Vanier,45.43029,-75.68937,Private room,61.0,30.0,885,2024-11-19,6.92,1.0,365.0,45,Exempt,272.0
3622272,Cozy and modern in Ottawa's Westboro Village,834817,Dominika,,Kitchissippi,45.3837582,-75.7476481,Entire home/apt,108.0,3.0,18,2025-02-14,1.22,1.0,118.0,15,Licensed,185.0
3917038,International Students!  Stay 1 Month or Longer!,20290919,Cornelia,,Rideau-Vanier,45.43476,-75.68109,Private room,50.0,30.0,82,2025-02-26,0.64,2.0,195.0,4,Licensed,173.0
3929195,Victorian House in Byward Market,20355739,Irma,,Rideau-Vanier,45.43206,-75.6949,Entire home/apt,199.0,14.0,22,2025-01-06,0.18,1.0,90.0,2,Licensed,224.0
3936688,International Students! Book 1 month or Longer!,20290919,Cornelia,,Rideau-Vanier,45.4328,-75.67909,Private room,58.0,30.0,20,2024-12-31,0.21,2.0,214.0,4,Licensed,230.0
4183188,Chic 1 Bedroom in Beechwood Village (Suite 1),21702498,Jane,,Rideau-Vanier,45.4399,-75.6684,Entire home/apt,72.0,30.0,34,2024-08-15,0.27,2.0,113.0,1,Licensed,368.0
4183253,"Best Location, Spaciouse 2BDR,",19290752,Mojgan,,Rideau-Vanier,45.43196,-75.69057,Entire home/apt,165.0,2.0,250,2025-02-17,1.98,3.0,85.0,13,Licensed,182.0
4406846,Spacious Centretown home,1300135,Ains,,Somerset,45.41536,-75.70314,Entire home/apt,85.0,1.0,38,2025-02-02,0.3,1.0,6.0,3,Licensed,197.0
4706926,Webster Gardens,24328926,Fay,,Alta Vista,45.38657,-75.65642,Private room,90.0,30.0,49,2023-06-26,0.4,2.0,364.0,0,Exempt,784.0
4757549,Explore The Glebe from a Charming and Scenic Loft,11105198,James,,Capital,45.39697,-75.68582,Entire home/apt,150.0,2.0,414,2025-02-27,3.36,1.0,45.0,42,Licensed,172.0
5117160,Charming Westboro location - comfortable bedroom,26444850,Brenda,,Kitchissippi,45.3821,-75.75683,Private room,100.0,30.0,61,2022-11-06,0.53,2.0,51.0,0,Licensed,1016.0
5220678,Webster Gardens,24328926,Fay,,Alta Vista,45.38763,-75.65732,Private room,90.0,30.0,47,2023-02-20,0.38,2.0,89.0,0,Exempt,910.0
5851756,Ambassador B&B  Ottawa downtown - Exquisite room,25461090,Irina,,Rideau-Vanier,45.428448,-75.675072,Private room,75.0,1.0,21,2023-02-07,0.18,4.0,23.0,0,Exempt,923.0
5924541,Central New York Loft Style 2 BDM,7354245,Lisa,,Somerset,45.412,-75.69986,Entire home/apt,165.0,30.0,87,2024-11-22,0.72,20.0,271.0,3,Licensed,269.0
6121836,The PORCH'S Little Bit of Country!,31556447,Nancy And John,,College,45.35416,-75.73802,Private room,62.0,1.0,209,2025-02-25,1.75,2.0,300.0,52,Licensed,174.0
6121871,The PORCH'S Sunny Yellow Room,31556447,Nancy And John,,College,45.35532,-75.73721,Private room,62.0,1.0,293,2025-03-09,2.45,2.0,304.0,26,Licensed,162.0
6197420,"Gorgeous, Large 3 Bed Downtown with Parking",7354245,Lisa,,Somerset,45.41342,-75.70607,Entire home/apt,106.0,30.0,143,2025-01-05,1.21,20.0,303.0,6,Exempt,225.0
